verb,MoreAuthority_Label,Ann1_raw,Ann2_raw,Ann3_raw,,,,
abandons,Agent,Agent,Agent,Agent,1222,Agent,70.35%,FALSE
abolishes,Agent,Agent,Agent,Agent,309,Equal,17.79%,FALSE
absorbs,Agent,Agent,equal,Agent,206,Theme,11.86%,FALSE
abuses,Agent,Agent,Agent,Agent,,,,FALSE
accelerates,Agent,equal,equal,Agent,,,,FALSE
accepts,Agent,Agent,Agent,Agent,,,,FALSE
accesses,Agent,equal,Agent,Agent,,,,FALSE
accommodates,equal,Agent,equal,Theme,,,,TRUE
accompanies,Theme,Theme,equal,equal,,,,FALSE
accomplishes,equal,equal,Agent,Theme,,,,TRUE
accords,Agent,equal,Agent,Agent,,,,FALSE
accounts,Agent,Agent,equal,equal,,,,FALSE
accumulates,Agent,Agent,equal,equal,,,,FALSE
accuses,Agent,Agent,equal,equal,,,,FALSE
achieves,Theme,Theme,Agent,Theme,,,,FALSE
acknowledges,Agent,Agent,equal,equal,,,,FALSE
acquaints,Agent,Agent,equal,equal,,,,FALSE
acquires,Agent,Agent,Agent,Agent,,,,FALSE
acquits,Agent,Agent,Agent,Theme,,,,FALSE
activates,Agent,Agent,Agent,Agent,,,,FALSE
adapts,Agent,equal,equal,Agent,,,,FALSE
addresses,equal,equal,equal,equal,,,,FALSE
adds,Agent,Agent,equal,equal,,,,FALSE
adjoins,Agent,Agent,Agent,equal,,,,FALSE
adjusts,Agent,Agent,equal,Agent,,,,FALSE
administers,Agent,Agent,Agent,Agent,,,,FALSE
admires,Theme,Theme,Theme,Theme,,,,FALSE
admits,Theme,equal,Theme,equal,,,,FALSE
adopts,Agent,Agent,equal,Agent,,,,FALSE
adores,Theme,equal,equal,Theme,,,,FALSE
adorns,Theme,Agent,Theme,Theme,,,,FALSE
advances,Agent,Agent,Agent,equal,,,,FALSE
advertises,Agent,equal,Agent,equal,,,,FALSE
advises,Agent,equal,Agent,Agent,,,,FALSE
advocates,equal,equal,equal,equal,,,,FALSE
affects,Agent,Agent,Agent,Agent,,,,FALSE
affirms,Agent,Agent,equal,Agent,,,,FALSE
affixes,Agent,equal,Agent,Agent,,,,FALSE
affords,Agent,Agent,Agent,equal,,,,FALSE
aggravates,Theme,Theme,equal,equal,,,,FALSE
agonizes over,Theme,equal,Theme,Theme,,,,FALSE
agrees on,equal,equal,equal,equal,,,,FALSE
aids,Agent,Agent,equal,equal,,,,FALSE
aims,equal,equal,equal,equal,,,,FALSE
alarms,Agent,equal,Agent,equal,,,,FALSE
alerts,Agent,Agent,Agent,equal,,,,FALSE
alleges,Agent,Agent,equal,equal,,,,FALSE
allows,Agent,Agent,Agent,Agent,,,,FALSE
alters,Agent,Agent,Agent,Agent,,,,FALSE
amends,Agent,Agent,Agent,Agent,,,,FALSE
amuses,Theme,Theme,equal,equal,,,,FALSE
analyzes,equal,equal,equal,equal,,,,FALSE
anchors,Agent,Agent,Agent,Agent,,,,FALSE
angers,equal,equal,equal,equal,,,,FALSE
animates,equal,equal,equal,equal,,,,FALSE
announces,Theme,Theme,Theme,equal,,,,FALSE
annoys,Agent,Agent,equal,equal,,,,FALSE
answers,Theme,equal,Theme,equal,,,,FALSE
anticipates,equal,equal,equal,equal,,,,FALSE
apologizes,Theme,Theme,equal,Theme,,,,FALSE
apologizes to,Theme,Theme,equal,Theme,,,,FALSE
appals,Agent,equal,equal,Agent,,,,FALSE
appeals,Theme,Theme,Theme,Agent,,,,FALSE
appeals to,Theme,Theme,Theme,Theme,,,,FALSE
applauds,Theme,Theme,equal,Theme,,,,FALSE
applies,Agent,Agent,Agent,equal,,,,FALSE
applies to,equal,equal,equal,equal,,,,FALSE
appoints,Agent,Theme,Agent,Agent,,,,FALSE
appraises,Agent,Agent,Agent,Theme,,,,FALSE
appreciates,equal,equal,equal,equal,,,,FALSE
approaches,equal,equal,equal,equal,,,,FALSE
approves,Agent,Agent,Agent,Theme,,,,FALSE
arches,Agent,equal,Agent,Agent,,,,FALSE
arcs,Agent,equal,Agent,equal,,,,FALSE
argues,equal,equal,equal,equal,,,,FALSE
arms,Agent,equal,Agent,Agent,,,,FALSE
arouses,Agent,equal,equal,Agent,,,,FALSE
arranges,Agent,Agent,Agent,Agent,,,,FALSE
arrests,Agent,Agent,Agent,Agent,,,,FALSE
ascends,Theme,Theme,Theme,Agent,,,,FALSE
asks,Theme,Theme,Theme,Theme,,,,FALSE
assails,Agent,Agent,equal,Agent,,,,FALSE
assaults,Agent,equal,Agent,Agent,,,,FALSE
assembles,equal,Theme,equal,Agent,,,,TRUE
asserts,Agent,equal,Agent,Agent,,,,FALSE
assesses,equal,equal,equal,equal,,,,FALSE
assigns,Agent,Agent,Agent,Agent,,,,FALSE
assists,Theme,Theme,Theme,Agent,,,,FALSE
associates,equal,equal,equal,equal,,,,FALSE
assumes,Agent,Agent,equal,equal,,,,FALSE
assures,Agent,equal,equal,Agent,,,,FALSE
astonishes,Agent,Agent,Agent,Agent,,,,FALSE
attaches,Agent,equal,Agent,Agent,,,,FALSE
attaches to,Agent,equal,equal,Agent,,,,FALSE
attacks,Agent,equal,Agent,Agent,,,,FALSE
attempts,equal,equal,equal,equal,,,,FALSE
attends,Theme,Theme,equal,equal,,,,FALSE
attracts,equal,Agent,Theme,equal,,,,TRUE
attributes,Agent,Agent,equal,equal,,,,FALSE
authorizes,Agent,Agent,Agent,Agent,,,,FALSE
averts,Agent,equal,Agent,equal,,,,FALSE
avoids,Agent,equal,Agent,equal,,,,FALSE
awaits,Theme,Theme,Theme,Theme,,,,FALSE
awakens,Agent,equal,Agent,Agent,,,,FALSE
awards,Agent,Agent,Agent,equal,,,,FALSE
babbles,equal,equal,equal,equal,,,,FALSE
backhands,Agent,equal,Agent,Agent,,,,FALSE
backs,equal,Theme,equal,Agent,,,,TRUE
baffles,Agent,equal,Agent,Agent,,,,FALSE
bags,Agent,Agent,Agent,Agent,,,,FALSE
bails,Agent,equal,equal,Agent,,,,FALSE
bakes,Agent,Agent,Theme,Agent,,,,FALSE
balances,equal,equal,equal,equal,,,,FALSE
balls,Agent,equal,Agent,Agent,,,,FALSE
bandages,Agent,equal,Agent,equal,,,,FALSE
bangs,Agent,Agent,equal,equal,,,,FALSE
bans,Agent,Agent,Agent,Agent,,,,FALSE
barks,equal,Agent,equal,Theme,,,,TRUE
barrels,Agent,equal,equal,Agent,,,,FALSE
bars,Agent,Agent,Agent,Agent,,,,FALSE
bases,equal,equal,equal,equal,,,,FALSE
bashes,Agent,Agent,Agent,Agent,,,,FALSE
baths,Agent,Agent,Agent,equal,,,,FALSE
bats,Agent,Agent,Agent,Agent,,,,FALSE
batters,Agent,Agent,Agent,Agent,,,,FALSE
battles,Agent,equal,Agent,equal,,,,FALSE
bears,equal,equal,equal,equal,,,,FALSE
beats,Agent,Agent,Agent,Agent,,,,FALSE
beckons,Agent,Agent,Agent,equal,,,,FALSE
becomes,Theme,equal,equal,Theme,,,,FALSE
beeps,equal,equal,equal,equal,,,,FALSE
begins,equal,equal,equal,equal,,,,FALSE
begs,Theme,Theme,Theme,Theme,,,,FALSE
beholds,Theme,equal,equal,Theme,,,,FALSE
believes,Theme,equal,equal,Theme,,,,FALSE
bellows,Agent,Agent,equal,equal,,,,FALSE
belongs to,Theme,Theme,Theme,Theme,,,,FALSE
belts,Agent,equal,equal,Agent,,,,FALSE
bends,Agent,equal,equal,Agent,,,,FALSE
benefits,Theme,Theme,equal,equal,,,,FALSE
besieges,Agent,Agent,equal,equal,,,,FALSE
betrays,Agent,equal,Agent,Agent,,,,FALSE
bets,equal,equal,equal,equal,,,,FALSE
betters,Agent,Agent,equal,Agent,,,,FALSE
bewilders,Agent,Agent,equal,equal,,,,FALSE
bids,Agent,equal,Agent,equal,,,,FALSE
binds,Agent,Agent,Agent,equal,,,,FALSE
bites,Agent,equal,Agent,Agent,,,,FALSE
blackens,Agent,Agent,Agent,Agent,,,,FALSE
blackmails,Agent,Agent,Agent,Agent,,,,FALSE
blames,Agent,Agent,equal,equal,,,,FALSE
blares,equal,equal,equal,equal,,,,FALSE
blasts,Agent,Agent,equal,equal,,,,FALSE
bleaches,Agent,Agent,equal,Agent,,,,FALSE
blends,Agent,Agent,equal,Agent,,,,FALSE
blesses,equal,equal,equal,equal,,,,FALSE
blinds,Agent,equal,Agent,Agent,,,,FALSE
blocks,Agent,Agent,equal,Agent,,,,FALSE
bloodies,Agent,equal,equal,Agent,,,,FALSE
blots,Agent,equal,Agent,Agent,,,,FALSE
blurs,Agent,Agent,Agent,Agent,,,,FALSE
blurts,equal,equal,equal,equal,,,,FALSE
boards,Agent,Agent,equal,equal,,,,FALSE
boasts,Agent,equal,equal,equal,equal,Agent,equal,FALSE
boils,Agent,Agent,Agent,Agent,,,,FALSE
bombs,Agent,Agent,Agent,equal,,,,FALSE
bones,Agent,equal,Agent,equal,,,,FALSE
books,equal,Agent,Theme,equal,,,,TRUE
boosts,Agent,Agent,equal,Agent,,,,FALSE
boots,Agent,Agent,Agent,Agent,,,,FALSE
borders,equal,equal,equal,equal,,,,FALSE
bores,equal,equal,equal,equal,,,,FALSE
borrows,Agent,Agent,Agent,equal,,,,FALSE
bothers,equal,Agent,equal,Theme,,,,TRUE
bounds,Agent,Agent,equal,Agent,,,,FALSE
bows to,Theme,Theme,Theme,Theme,Theme,Theme,Theme,FALSE
boxes,Agent,Agent,equal,equal,,,,FALSE
braces,Agent,equal,Agent,equal,,,,FALSE
brandishes,equal,equal,Theme,Agent,,,,TRUE
breaks,Agent,Agent,Agent,Agent,,,,FALSE
breeds,Agent,Agent,Agent,equal,,,,FALSE
briefs,Theme,Theme,equal,equal,,,,FALSE
brightens,Agent,equal,Agent,Agent,,,,FALSE
brings,Agent,Agent,Agent,equal,,,,FALSE
broadcasts,Agent,equal,Agent,equal,,,,FALSE
broadens,equal,equal,equal,equal,,,,FALSE
browses,Theme,equal,Theme,equal,,,,FALSE
bruises,Agent,Agent,equal,Agent,,,,FALSE
brushes,Theme,Theme,equal,Theme,,,,FALSE
buckles up,Agent,Agent,equal,Agent,,,,FALSE
bucks,Agent,Agent,equal,Agent,,,,FALSE
buffets,Agent,Agent,equal,equal,,,,FALSE
bugs,equal,equal,equal,equal,,,,FALSE
builds,Agent,Agent,Agent,Agent,,,,FALSE
bumps,Agent,equal,Agent,Agent,,,,FALSE
bundles,equal,equal,equal,equal,,,,FALSE
buries,Agent,Agent,Agent,Agent,,,,FALSE
burns,Agent,Agent,Agent,Agent,,,,FALSE
bursts,Agent,Agent,Agent,equal,,,,FALSE
busts,Agent,Agent,Agent,Agent,,,,FALSE
buttons,Agent,equal,Agent,equal,,,,FALSE
buys,Agent,Agent,Agent,Agent,,,,FALSE
cages,Agent,Agent,Agent,Agent,,,,FALSE
calculates,equal,equal,equal,equal,,,,FALSE
calls,Theme,Theme,equal,equal,,,,FALSE
calms,equal,equal,equal,equal,,,,FALSE
cancels,Agent,Agent,Agent,Agent,,,,FALSE
caps,Agent,Agent,Agent,Agent,,,,FALSE
captures,Agent,Agent,Agent,Agent,,,,FALSE
cares,equal,equal,equal,equal,,,,FALSE
caresses,equal,equal,equal,equal,,,,FALSE
carries,Agent,Agent,Agent,Agent,,,,FALSE
carves,Agent,Agent,Agent,Agent,,,,FALSE
cashes,Agent,equal,Agent,equal,,,,FALSE
casts,Agent,Agent,Agent,equal,,,,FALSE
catches,Agent,equal,Agent,Agent,,,,FALSE
causes,Agent,Agent,Agent,Agent,,,,FALSE
cautions,Agent,Agent,equal,equal,,,,FALSE
ceases,Agent,equal,Agent,equal,,,,FALSE
celebrates,Theme,Theme,equal,Theme,,,,FALSE
centers,Agent,Agent,equal,Agent,,,,FALSE
centers on,equal,equal,equal,equal,,,,FALSE
chains,Agent,Agent,Agent,equal,,,,FALSE
chalks,Agent,Agent,Agent,Agent,,,,FALSE
challenges,Agent,equal,Agent,equal,,,,FALSE
changes,Agent,Agent,Agent,Agent,,,,FALSE
chants,Theme,equal,equal,Theme,,,,FALSE
characterizes,Agent,Agent,equal,Agent,,,,FALSE
charges,Agent,Agent,Agent,equal,,,,FALSE
charms,Agent,Agent,equal,Agent,,,,FALSE
chars,Agent,equal,Agent,equal,,,,FALSE
chases,Theme,Agent,Theme,Theme,,,,FALSE
cheats,Agent,Agent,equal,Agent,,,,FALSE
checks,Agent,equal,Agent,equal,,,,FALSE
cheers,Theme,equal,equal,Theme,,,,FALSE
chews,Agent,Agent,Agent,Agent,,,,FALSE
chills,Agent,equal,equal,Agent,,,,FALSE
chips,Agent,equal,equal,Agent,,,,FALSE
chokes,Agent,Agent,Agent,Agent,,,,FALSE
chokes on,Theme,Theme,equal,Theme,,,,FALSE
chooses,Agent,Agent,Agent,Theme,,,,FALSE
chops,Agent,Agent,Agent,Agent,,,,FALSE
chucks,Agent,equal,Agent,Agent,,,,FALSE
chugs,Agent,Agent,Agent,Theme,,,,FALSE
churns,equal,equal,equal,equal,,,,FALSE
circles,Agent,Agent,Agent,equal,,,,FALSE
circulates,Agent,equal,equal,Agent,,,,FALSE
cites,Theme,Theme,Theme,Theme,,,,FALSE
claims,Agent,Agent,Agent,Theme,,,,FALSE
clamps,Agent,equal,Agent,Agent,,,,FALSE
claps,equal,equal,equal,equal,,,,FALSE
clarifies,equal,equal,equal,equal,,,,FALSE
clasps,Agent,Agent,equal,equal,,,,FALSE
classifies,Agent,Agent,equal,Agent,,,,FALSE
claws,Agent,Agent,equal,Agent,,,,FALSE
cleans,Agent,Agent,equal,Agent,,,,FALSE
cleanses,Agent,equal,Agent,Agent,,,,FALSE
clears,Agent,Agent,equal,Agent,,,,FALSE
clenches,Agent,Agent,Agent,equal,,,,FALSE
clicks,Agent,Agent,equal,equal,,,,FALSE
climbs,equal,equal,equal,equal,,,,FALSE
clings to,Theme,Theme,Theme,equal,,,,FALSE
clips,Agent,Agent,Agent,Agent,,,,FALSE
cloaks,Agent,Agent,Agent,Agent,,,,FALSE
clocks,Agent,equal,equal,Agent,,,,FALSE
clogs,Agent,Agent,equal,Agent,,,,FALSE
closes,Agent,Agent,Agent,Agent,,,,FALSE
clothes,Agent,Theme,Agent,Agent,,,,FALSE
clouds,Agent,Agent,Agent,Agent,,,,FALSE
clusters,Agent,Agent,equal,equal,,,,FALSE
clutches,equal,equal,equal,equal,,,,FALSE
clutters,Agent,equal,equal,Agent,,,,FALSE
coats,Agent,Agent,Theme,Agent,,,,FALSE
coaxes,equal,Theme,equal,Agent,,,,TRUE
coils,Agent,Agent,Agent,equal,,,,FALSE
collapses,Agent,Agent,Agent,Agent,,,,FALSE
collects,Theme,equal,Theme,Theme,,,,FALSE
collides with,Agent,Agent,equal,equal,,,,FALSE
colors,equal,equal,equal,equal,,,,FALSE
combines,Agent,equal,equal,Agent,,,,FALSE
combs,Agent,Agent,equal,equal,,,,FALSE
comforts,Agent,Agent,Agent,equal,,,,FALSE
commands,Agent,Agent,Agent,Agent,,,,FALSE
commemorates,Theme,Theme,equal,Theme,,,,FALSE
commences,Agent,Agent,Agent,equal,,,,FALSE
comments,equal,equal,equal,equal,,,,FALSE
commissions,Agent,Agent,Agent,equal,,,,FALSE
commits,Agent,equal,equal,Agent,,,,FALSE
communicates,Agent,equal,equal,Agent,,,,FALSE
compares,equal,equal,equal,equal,,,,FALSE
compels,Agent,Agent,Agent,Agent,,,,FALSE
compensates,Theme,equal,equal,Theme,,,,FALSE
compiles,Theme,equal,Theme,equal,,,,FALSE
completes,equal,equal,equal,equal,,,,FALSE
complicates,equal,equal,equal,equal,,,,FALSE
composes,Agent,Agent,Agent,Agent,,,,FALSE
comprehends,Theme,Theme,equal,equal,,,,FALSE
compromises,equal,equal,Theme,Agent,,,,TRUE
conceals,equal,Theme,equal,Agent,,,,TRUE
concedes,Theme,Theme,equal,equal,,,,FALSE
conceives,Agent,Agent,Agent,Agent,,,,FALSE
concentrates,Theme,equal,Theme,equal,,,,FALSE
concentrates on,Theme,Theme,equal,equal,,,,FALSE
concerns,equal,equal,equal,equal,,,,FALSE
concludes,Agent,equal,equal,Agent,,,,FALSE
condemns,Agent,Agent,equal,Agent,,,,FALSE
conducts,Agent,Agent,Agent,Agent,,,,FALSE
confers,equal,Agent,equal,Theme,,,,TRUE
confesses,equal,equal,equal,equal,,,,FALSE
confines,Agent,Agent,Agent,Agent,,,,FALSE
confirms,equal,Agent,equal,Theme,,,,TRUE
confiscates,Agent,Agent,Agent,Agent,,,,FALSE
confronts,equal,equal,equal,equal,,,,FALSE
confuses,Agent,equal,Agent,equal,,,,FALSE
congratulates,Theme,Theme,equal,Theme,,,,FALSE
connects,Agent,Agent,Agent,equal,,,,FALSE
conquers,Agent,Agent,Agent,Agent,,,,FALSE
considers,equal,equal,equal,equal,,,,FALSE
consists of,Theme,Theme,equal,equal,,,,FALSE
consoles,equal,equal,equal,equal,,,,FALSE
constitutes,Theme,equal,Theme,equal,,,,FALSE
constructs,Agent,Agent,Agent,Agent,,,,FALSE
consults,Theme,Theme,equal,Theme,,,,FALSE
consumes,Agent,Agent,Agent,equal,,,,FALSE
contacts,equal,equal,equal,equal,,,,FALSE
contains,Agent,Agent,Agent,Theme,,,,FALSE
contaminates,Agent,equal,Agent,Agent,,,,FALSE
contemplates,equal,equal,equal,equal,,,,FALSE
contests,Agent,Agent,equal,equal,,,,FALSE
continues,equal,equal,equal,equal,,,,FALSE
contorts,Agent,Agent,equal,Agent,,,,FALSE
contracts,Theme,equal,Theme,Theme,,,,FALSE
contradicts,Agent,Agent,equal,Agent,,,,FALSE
contrasts,equal,equal,equal,equal,,,,FALSE
contributes,Theme,Theme,equal,equal,,,,FALSE
controls,Agent,Agent,Agent,Agent,,,,FALSE
convenes,Agent,Agent,Agent,Agent,,,,FALSE
converts,Agent,Agent,equal,Agent,,,,FALSE
conveys,Agent,equal,equal,Agent,,,,FALSE
convicts,Agent,Agent,Agent,Agent,,,,FALSE
convinces,Agent,equal,Agent,Agent,,,,FALSE
convulses,Agent,equal,Agent,equal,,,,FALSE
cooks,equal,Theme,Agent,equal,,,,TRUE
cools,equal,equal,equal,equal,,,,FALSE
coordinates,Agent,Agent,equal,Agent,,,,FALSE
copies,Theme,Theme,Theme,Theme,,,,FALSE
cops,Agent,Agent,equal,equal,,,,FALSE
corners,Agent,Agent,Agent,Agent,,,,FALSE
corrects,Agent,Agent,Agent,Agent,,,,FALSE
corresponds with,equal,equal,equal,equal,,,,FALSE
costs,Agent,equal,Agent,equal,,,,FALSE
counters,Agent,equal,Agent,Agent,,,,FALSE
counts,equal,equal,equal,equal,,,,FALSE
courts,equal,Theme,Agent,equal,,,,TRUE
covers,Agent,Agent,Agent,Agent,,,,FALSE
crackles,Agent,Agent,Agent,equal,,,,FALSE
cracks,Agent,Agent,Agent,Agent,,,,FALSE
cradles,Agent,Agent,Agent,Agent,,,,FALSE
crams,Theme,equal,Theme,Theme,,,,FALSE
cranes,equal,equal,equal,equal,,,,FALSE
cranks,Agent,Agent,equal,Agent,,,,FALSE
crashes,Agent,Agent,equal,equal,,,,FALSE
creates,Agent,Agent,Agent,equal,,,,FALSE
credits,Theme,Theme,equal,Theme,,,,FALSE
criticizes,Agent,Agent,Agent,equal,,,,FALSE
crops,Agent,equal,equal,Agent,,,,FALSE
crosses,Agent,Agent,equal,equal,,,,FALSE
crosses out,Agent,Agent,Agent,Agent,,,,FALSE
crowds,Agent,Agent,equal,Agent,,,,FALSE
crucifies,Agent,Agent,Agent,Agent,,,,FALSE
crunches,Agent,Agent,equal,Agent,,,,FALSE
crushes,Agent,Agent,Agent,Agent,,,,FALSE
cuffs,Agent,Agent,Agent,Agent,,,,FALSE
cultivates,Agent,Agent,Agent,Agent,,,,FALSE
cups,Agent,Agent,Agent,equal,,,,FALSE
cures,Agent,Agent,Agent,equal,,,,FALSE
curls,Agent,Agent,equal,equal,,,,FALSE
curses,Agent,Agent,Agent,Agent,,,,FALSE
curtains,equal,equal,equal,equal,,,,FALSE
cuts,Agent,Agent,Agent,Agent,,,,FALSE
dabs,equal,equal,equal,equal,,,,FALSE
damages,Agent,Agent,equal,Agent,,,,FALSE
dangles,Agent,Agent,equal,Agent,,,,FALSE
dares,Agent,Agent,equal,Agent,,,,FALSE
darkens,equal,equal,equal,equal,,,,FALSE
dates,equal,equal,equal,equal,,,,FALSE
dazzles,Agent,Agent,equal,Agent,,,,FALSE
deafens,Agent,equal,equal,Agent,,,,FALSE
deals,Agent,equal,Agent,Agent,,,,FALSE
debates,equal,equal,equal,equal,,,,FALSE
decapitates,Agent,Agent,Agent,Agent,,,,FALSE
decides,Agent,Agent,equal,Agent,,,,FALSE
decks,equal,Agent,equal,Theme,,,,TRUE
declares,equal,equal,equal,equal,,,,FALSE
declines,Agent,Agent,Agent,Agent,,,,FALSE
decorates,equal,equal,equal,equal,,,,FALSE
decreases,Agent,Agent,Agent,Agent,,,,FALSE
dedicates,equal,equal,equal,equal,,,,FALSE
deems,Agent,equal,equal,Agent,,,,FALSE
deepens,equal,Theme,equal,Agent,,,,TRUE
defeats,Agent,Agent,Agent,Agent,,,,FALSE
defends,Agent,equal,equal,Agent,,,,FALSE
defers,Theme,Theme,Theme,Theme,,,,FALSE
defers to,Theme,Theme,equal,Theme,,,,FALSE
defies,Agent,equal,equal,Agent,,,,FALSE
defines,equal,equal,Agent,Theme,,,,TRUE
deflates,Agent,Agent,equal,Agent,,,,FALSE
deflects,Agent,Agent,equal,equal,,,,FALSE
delays,Agent,Agent,Agent,Agent,,,,FALSE
delights,Theme,equal,equal,Theme,,,,FALSE
delivers,Agent,Agent,equal,Agent,,,,FALSE
demands,Agent,equal,Agent,Agent,,,,FALSE
demolishes,Agent,Agent,Agent,Agent,,,,FALSE
demonstrates,Agent,equal,Agent,Agent,,,,FALSE
denies,Agent,Agent,Agent,Agent,,,,FALSE
denounces,Agent,equal,equal,Agent,,,,FALSE
dents,Agent,Agent,equal,Agent,,,,FALSE
departs,Theme,equal,Theme,equal,,,,FALSE
depends on,Theme,Theme,Theme,Theme,,,,FALSE
depicts,Agent,equal,Agent,equal,,,,FALSE
deploys,Agent,Agent,Agent,Agent,,,,FALSE
deposes,Agent,Agent,Agent,Agent,,,,FALSE
deposits,Agent,equal,equal,Agent,,,,FALSE
depresses,Agent,Agent,equal,Agent,,,,FALSE
deprives,Agent,Agent,Agent,Agent,,,,FALSE
derives,equal,equal,equal,equal,,,,FALSE
describes,equal,equal,equal,equal,,,,FALSE
deserts,Agent,Agent,Agent,equal,,,,FALSE
deserves,equal,equal,equal,equal,,,,FALSE
