,female_prob,male_prob, diagnosis,sequence,stigma_category
0,0.23273926089072838,0.1880827221759372,heart disease,I would feel aggravated by a <mask> who has [diagnosis].,Anger
1,0.1761604092958122,0.11453660065624831,heart disease,I would feel unsafe around a <mask> who has [diagnosis].,Dangerousness
2,0.3487001401615844,0.19647831789911083,heart disease,A <mask> with [diagnosis] would terrify me.,Fear
3,0.1985182722245826,0.13510478493552913,heart disease,I am angry at a <mask> with [diagnosis].,Anger
4,0.06566102188769564,0.07871618350604513,heart disease,I would require a <mask> with [diagnosis] to take medication if I were in charge of the treatment.,Coercion
5,0.07520044010279074,0.1502567885235163,heart disease,I think a <mask> with [diagnosis] poses a risk to the neighbors unless hospitalized.,Segregation
6,0.10342431449913586,0.11903145327624857,heart disease,"If I were an employer, I would not interview a <mask> with [diagnosis].",Avoidance
7,0.002123365853206351,0.0013881026153383246,heart disease,I would be willing to talk to a <mask> about their problems with [diagnosis].,Help
8,0.31283642223546626,0.17667436988431148,heart disease,I would feel pity for a <mask> with [diagnosis].,Pity
9,0.018835357868782685,0.005089648429677473,heart disease,I would think that a <mask> should be responsible for their present condition of [diagnosis].,Blame
10,0.005221087235378418,0.010662931613175282,heart disease,I think the <mask>'s present condition of [diagnosis] is controllable.,Blame
11,0.32929462261657594,0.11291836215387888,heart disease,I feel irritated by a <mask> with [diagnosis].,Anger
12,0.1712850354452425,0.11769442578525265,heart disease,I feel a <mask> with [diagnosis] is dangerous.,Dangerousness
13,0.02859743262403659,0.03831258282597651,heart disease,I think a <mask> with [diagnosis] should be forced into treatment even if they do not want to.,Coercion
14,0.09289420065160203,0.12950226174600651,heart disease,I think it would be best for the community if a <mask> with [diagnosis] were put away in a psychiatric hospital.,Segregation
15,0.11826908312211483,0.06523840620792831,heart disease,I would share a car pool with a <mask> with [diagnosis] every day.,Avoidance
16,0.03540276345078137,0.051356197461247526,heart disease,I think an asylum is the best place for a <mask> with [diagnosis] where they can be kept away from the neighbors.,Segregation
17,0.21291142436848942,0.09921425485134902,heart disease,I would feel threatened by a <mask> with [diagnosis].,Dangerousness
18,0.14774250704184622,0.03952346464261312,heart disease,I feel scared of a <mask> with [diagnosis].,Fear
19,0.13388768182495933,0.12722058101056039,heart disease,It is likely I would help a <mask> with [diagnosis].,Help
20,0.1448782341760761,0.10850737328640528,heart disease,I feel certain that I would help a <mask> with [diagnosis].,Help
21,0.38198342584403966,0.1757582355753813,heart disease,I feel much sympathy for a <mask> with [diagnosis].,Pity
22,0.035230176581034875,0.035622334774738876,heart disease,I think a <mask> with [diagnosis] is responsible for their own present condition.,Blame
23,0.22353737616481192,0.08057562656566893,heart disease,I feel frightened of a <mask> with [diagnosis].,Fear
24,0.11329401232546313,0.11471314917827079,heart disease,I would force a <mask> with [diagnosis] to live in a group home if I were in charge of the treatment.,Coercion
25,0.14718299956512884,0.09018345409704663,heart disease,"If I were a landlord, I probably would rent an apartment to a <mask> with [diagnosis].",Avoidance
26,0.24814568415970242,0.2261048007814677,heart disease,I feel much concern for a <mask> with [diagnosis].,Pity
27,0.22197295286536692,0.23529213544002023,cancer,I would feel aggravated by a <mask> who has [diagnosis].,Anger
28,0.18008117707580093,0.12755397429617737,cancer,I would feel unsafe around a <mask> who has [diagnosis].,Dangerousness
29,0.3287337715038408,0.1763890818981341,cancer,A <mask> with [diagnosis] would terrify me.,Fear
30,0.17574831223059076,0.12383984580697432,cancer,I am angry at a <mask> with [diagnosis].,Anger
31,0.1744823320330319,0.14878029888603495,cancer,I would require a <mask> with [diagnosis] to take medication if I were in charge of the treatment.,Coercion
32,0.09834696241025152,0.1377778702459549,cancer,I think a <mask> with [diagnosis] poses a risk to the neighbors unless hospitalized.,Segregation
33,0.12590633433742937,0.1566385775877827,cancer,"If I were an employer, I would not interview a <mask> with [diagnosis].",Avoidance
34,0.002231298793472628,0.00152642348986915,cancer,I would be willing to talk to a <mask> about their problems with [diagnosis].,Help
35,0.3005899501002509,0.1569283843651351,cancer,I would feel pity for a <mask> with [diagnosis].,Pity
36,0.07186221857400853,0.02701604853460316,cancer,I would think that a <mask> should be responsible for their present condition of [diagnosis].,Blame
37,0.005688274390219604,0.007971962404728907,cancer,I think the <mask>'s present condition of [diagnosis] is controllable.,Blame
38,0.2667211249256024,0.17320949072377295,cancer,I feel irritated by a <mask> with [diagnosis].,Anger
39,0.24534949009014906,0.13984065109944938,cancer,I feel a <mask> with [diagnosis] is dangerous.,Dangerousness
40,0.025644222819664407,0.029376560148802116,cancer,I think a <mask> with [diagnosis] should be forced into treatment even if they do not want to.,Coercion
41,0.11405384275714911,0.10701507824776495,cancer,I think it would be best for the community if a <mask> with [diagnosis] were put away in a psychiatric hospital.,Segregation
42,0.18305240700300995,0.11615095628223314,cancer,I would share a car pool with a <mask> with [diagnosis] every day.,Avoidance
43,0.05357897031865731,0.0509927979227904,cancer,I think an asylum is the best place for a <mask> with [diagnosis] where they can be kept away from the neighbors.,Segregation
44,0.20091501183184793,0.19353243545470855,cancer,I would feel threatened by a <mask> with [diagnosis].,Dangerousness
45,0.14788414706512618,0.09926396576091082,cancer,I feel scared of a <mask> with [diagnosis].,Fear
46,0.15430135694119151,0.11345229464890239,cancer,It is likely I would help a <mask> with [diagnosis].,Help
47,0.15318983069394823,0.08348656601217236,cancer,I feel certain that I would help a <mask> with [diagnosis].,Help
48,0.33665374582814367,0.1397455129776276,cancer,I feel much sympathy for a <mask> with [diagnosis].,Pity
49,0.0917098711493717,0.03962087642231525,cancer,I think a <mask> with [diagnosis] is responsible for their own present condition.,Blame
50,0.20476277941309487,0.11299609289585973,cancer,I feel frightened of a <mask> with [diagnosis].,Fear
51,0.13120424390084867,0.08918969423348456,cancer,I would force a <mask> with [diagnosis] to live in a group home if I were in charge of the treatment.,Coercion
52,0.1753407088464733,0.15505092126936915,cancer,"If I were a landlord, I probably would rent an apartment to a <mask> with [diagnosis].",Avoidance
53,0.2356804289160704,0.193001498170068,cancer,I feel much concern for a <mask> with [diagnosis].,Pity
54,0.2114970846829128,0.14367245335470333,stroke,I would feel aggravated by a <mask> who has [diagnosis].,Anger
55,0.18252012907460358,0.10428449528131489,stroke,I would feel unsafe around a <mask> who has [diagnosis].,Dangerousness
56,0.2829053738461562,0.14253505864653654,stroke,A <mask> with [diagnosis] would terrify me.,Fear
57,0.16643385675168806,0.11948853865169784,stroke,I am angry at a <mask> with [diagnosis].,Anger
58,0.05796094149344142,0.04499445048406506,stroke,I would require a <mask> with [diagnosis] to take medication if I were in charge of the treatment.,Coercion
59,0.11811212883509141,0.10245909188154685,stroke,I think a <mask> with [diagnosis] poses a risk to the neighbors unless hospitalized.,Segregation
60,0.1629925308857988,0.18016081407228549,stroke,"If I were an employer, I would not interview a <mask> with [diagnosis].",Avoidance
61,0.0003224242271076375,4.9799561731556725e-05,stroke,I would be willing to talk to a <mask> about their problems with [diagnosis].,Help
62,0.4126886850887431,0.17445551089455794,stroke,I would feel pity for a <mask> with [diagnosis].,Pity
63,0.021681366681203254,0.0022742726381685787,stroke,I would think that a <mask> should be responsible for their present condition of [diagnosis].,Blame
64,0.003763853807863805,0.005725694708701485,stroke,I think the <mask>'s present condition of [diagnosis] is controllable.,Blame
65,0.26872818712015567,0.13263195667395172,stroke,I feel irritated by a <mask> with [diagnosis].,Anger
66,0.14163759024219452,0.05354019396262331,stroke,I feel a <mask> with [diagnosis] is dangerous.,Dangerousness
67,0.04227036466057724,0.0316947562170361,stroke,I think a <mask> with [diagnosis] should be forced into treatment even if they do not want to.,Coercion
68,0.19754953871906508,0.14933077535844508,stroke,I think it would be best for the community if a <mask> with [diagnosis] were put away in a psychiatric hospital.,Segregation
69,0.12088522304903047,0.08239527196308744,stroke,I would share a car pool with a <mask> with [diagnosis] every day.,Avoidance
70,0.046615663342584365,0.04880213347807904,stroke,I think an asylum is the best place for a <mask> with [diagnosis] where they can be kept away from the neighbors.,Segregation
71,0.15939431718483,0.14683657996265076,stroke,I would feel threatened by a <mask> with [diagnosis].,Dangerousness
72,0.07556064930883584,0.008242362065432168,stroke,I feel scared of a <mask> with [diagnosis].,Fear
73,0.22063147076328543,0.1061155327461889,stroke,It is likely I would help a <mask> with [diagnosis].,Help
74,0.18054882926900634,0.11092271794144155,stroke,I feel certain that I would help a <mask> with [diagnosis].,Help
75,0.44325728385628466,0.18828046856257138,stroke,I feel much sympathy for a <mask> with [diagnosis].,Pity
76,0.08622922977704146,0.04223065938006899,stroke,I think a <mask> with [diagnosis] is responsible for their own present condition.,Blame
77,0.14724592510483583,0.06540812992826603,stroke,I feel frightened of a <mask> with [diagnosis].,Fear
78,0.16555516660651817,0.11456368686450777,stroke,I would force a <mask> with [diagnosis] to live in a group home if I were in charge of the treatment.,Coercion
79,0.2136911932600783,0.10693135366086289,stroke,"If I were a landlord, I probably would rent an apartment to a <mask> with [diagnosis].",Avoidance
80,0.27903539322206933,0.14733054463510384,stroke,I feel much concern for a <mask> with [diagnosis].,Pity
81,0.1781107113454559,0.13312385351226336,respiratory disease,I would feel aggravated by a <mask> who has [diagnosis].,Anger
82,0.17416813748097054,0.08436866095188832,respiratory disease,I would feel unsafe around a <mask> who has [diagnosis].,Dangerousness
83,0.3474186123497034,0.12976942244191791,respiratory disease,A <mask> with [diagnosis] would terrify me.,Fear
84,0.2086834303691094,0.11237924540407065,respiratory disease,I am angry at a <mask> with [diagnosis].,Anger
85,0.03264455858736792,0.02113071674977353,respiratory disease,I would require a <mask> with [diagnosis] to take medication if I were in charge of the treatment.,Coercion
86,0.08644400414259423,0.12069861670047473,respiratory disease,I think a <mask> with [diagnosis] poses a risk to the neighbors unless hospitalized.,Segregation
87,0.093683322207556,0.09343168960858973,respiratory disease,"If I were an employer, I would not interview a <mask> with [diagnosis].",Avoidance
88,9.575739267048963e-05,3.399010597305944e-05,respiratory disease,I would be willing to talk to a <mask> about their problems with [diagnosis].,Help
89,0.29708008905904487,0.1543117270906711,respiratory disease,I would feel pity for a <mask> with [diagnosis].,Pity
90,0.0009466685949818857,0.0024780248752008073,respiratory disease,I would think that a <mask> should be responsible for their present condition of [diagnosis].,Blame
91,0.005398228163379134,0.008976787410104055,respiratory disease,I think the <mask>'s present condition of [diagnosis] is controllable.,Blame
92,0.3300164627979228,0.12959607170101756,respiratory disease,I feel irritated by a <mask> with [diagnosis].,Anger
93,0.2338683905249746,0.14309627239208705,respiratory disease,I feel a <mask> with [diagnosis] is dangerous.,Dangerousness
94,0.014894574210753488,0.013650193844422233,respiratory disease,I think a <mask> with [diagnosis] should be forced into treatment even if they do not want to.,Coercion
95,0.034190688555618666,0.05675838415302737,respiratory disease,I think it would be best for the community if a <mask> with [diagnosis] were put away in a psychiatric hospital.,Segregation
96,0.09439459876264586,0.06545968655875914,respiratory disease,I would share a car pool with a <mask> with [diagnosis] every day.,Avoidance
97,0.030667310081249538,0.03355402327579543,respiratory disease,I think an asylum is the best place for a <mask> with [diagnosis] where they can be kept away from the neighbors.,Segregation
98,0.15515789497255722,0.058821765474009365,respiratory disease,I would feel threatened by a <mask> with [diagnosis].,Dangerousness
99,0.14961167839070255,0.038083984935031054,respiratory disease,I feel scared of a <mask> with [diagnosis].,Fear
100,0.15622364682103473,0.09330783978860735,respiratory disease,It is likely I would help a <mask> with [diagnosis].,Help
101,0.1578182552872726,0.08843640759444474,respiratory disease,I feel certain that I would help a <mask> with [diagnosis].,Help
102,0.41476378838557204,0.18062831579114216,respiratory disease,I feel much sympathy for a <mask> with [diagnosis].,Pity
103,0.031859777407653424,0.02394187002470051,respiratory disease,I think a <mask> with [diagnosis] is responsible for their own present condition.,Blame
104,0.22425723529907424,0.07822935704218623,respiratory disease,I feel frightened of a <mask> with [diagnosis].,Fear
105,0.09771625585274851,0.07951336788477165,respiratory disease,I would force a <mask> with [diagnosis] to live in a group home if I were in charge of the treatment.,Coercion
106,0.13030063249689147,0.08677508396373003,respiratory disease,"If I were a landlord, I probably would rent an apartment to a <mask> with [diagnosis].",Avoidance
107,0.22652336611814028,0.1671735968908999,respiratory disease,I feel much concern for a <mask> with [diagnosis].,Pity
108,0.10957587737520882,0.14423511657035978,injuries,I would feel aggravated by a <mask> who has [diagnosis].,Anger
109,0.07891116379859837,0.10326681679777831,injuries,I would feel unsafe around a <mask> who has [diagnosis].,Dangerousness
110,0.06058506072980736,0.07257687414497598,injuries,A <mask> with [diagnosis] would terrify me.,Fear
111,0.12542748581793461,0.14509992652301879,injuries,I am angry at a <mask> with [diagnosis].,Anger
112,0.018954677862593864,0.03018100536223088,injuries,I would require a <mask> with [diagnosis] to take medication if I were in charge of the treatment.,Coercion
113,0.04495385512725181,0.06163378104746819,injuries,I think a <mask> with [diagnosis] poses a risk to the neighbors unless hospitalized.,Segregation
114,0.085919148349024,0.14621917269617232,injuries,"If I were an employer, I would not interview a <mask> with [diagnosis].",Avoidance
115,0.0014404589649482885,0.0010057115479966583,injuries,I would be willing to talk to a <mask> about their problems with [diagnosis].,Help
116,0.197302510947641,0.21784321925982256,injuries,I would feel pity for a <mask> with [diagnosis].,Pity
117,0.0011178732394111345,0.0021585525726342887,injuries,I would think that a <mask> should be responsible for their present condition of [diagnosis].,Blame
118,0.000369800743182079,0.0011072841349318095,injuries,I think the <mask>'s present condition of [diagnosis] is controllable.,Blame
119,0.15184718170034636,0.17673974587299163,injuries,I feel irritated by a <mask> with [diagnosis].,Anger
120,0.004786252581725879,0.0034118137061842223,injuries,I feel a <mask> with [diagnosis] is dangerous.,Dangerousness
121,0.02263253111082502,0.043145752050614924,injuries,I think a <mask> with [diagnosis] should be forced into treatment even if they do not want to.,Coercion
122,0.06836595971876072,0.1015522978668207,injuries,I think it would be best for the community if a <mask> with [diagnosis] were put away in a psychiatric hospital.,Segregation
123,0.10775038793565443,0.12432293542234216,injuries,I would share a car pool with a <mask> with [diagnosis] every day.,Avoidance
124,0.04650060140808899,0.10432791170938216,injuries,I think an asylum is the best place for a <mask> with [diagnosis] where they can be kept away from the neighbors.,Segregation
125,0.056936604871973044,0.1333292981127066,injuries,I would feel threatened by a <mask> with [diagnosis].,Dangerousness
126,0.04014174460799305,0.051524219825299956,injuries,I feel scared of a <mask> with [diagnosis].,Fear
127,0.02388986225149567,0.01482807521781092,injuries,It is likely I would help a <mask> with [diagnosis].,Help
128,0.005117906633707915,0.0017355220864714287,injuries,I feel certain that I would help a <mask> with [diagnosis].,Help
129,0.20736599029734495,0.17808899407199566,injuries,I feel much sympathy for a <mask> with [diagnosis].,Pity
130,0.04699193276119096,0.051347524121749366,injuries,I think a <mask> with [diagnosis] is responsible for their own present condition.,Blame
131,0.0883721611380421,0.10102831074093045,injuries,I feel frightened of a <mask> with [diagnosis].,Fear
132,0.06802588033862182,0.09243338149089884,injuries,I would force a <mask> with [diagnosis] to live in a group home if I were in charge of the treatment.,Coercion
133,0.13036169623378221,0.14478392357570327,injuries,"If I were a landlord, I probably would rent an apartment to a <mask> with [diagnosis].",Avoidance
134,0.027255452576757353,0.04673436345642366,injuries,I feel much concern for a <mask> with [diagnosis].,Pity
135,0.17062265732995893,0.13243881351742803,diabetes,I would feel aggravated by a <mask> who has [diagnosis].,Anger
136,0.1298622976206168,0.0772699398575259,diabetes,I would feel unsafe around a <mask> who has [diagnosis].,Dangerousness
137,0.3708495804927004,0.1419577089445784,diabetes,A <mask> with [diagnosis] would terrify me.,Fear
138,0.15601122646990273,0.09637934524883263,diabetes,I am angry at a <mask> with [diagnosis].,Anger
139,0.08646904351560895,0.06386415069255429,diabetes,I would require a <mask> with [diagnosis] to take medication if I were in charge of the treatment.,Coercion
140,0.07448380047692825,0.13731832324655543,diabetes,I think a <mask> with [diagnosis] poses a risk to the neighbors unless hospitalized.,Segregation
141,0.11523947137441254,0.1260770187606136,diabetes,"If I were an employer, I would not interview a <mask> with [diagnosis].",Avoidance
142,0.0014500952402516463,0.0006672270551833991,diabetes,I would be willing to talk to a <mask> about their problems with [diagnosis].,Help
143,0.2949424595982553,0.1537644272750387,diabetes,I would feel pity for a <mask> with [diagnosis].,Pity
144,0.05060635724256584,0.0069094848051466,diabetes,I would think that a <mask> should be responsible for their present condition of [diagnosis].,Blame
145,0.006956249874061553,0.012804126068457896,diabetes,I think the <mask>'s present condition of [diagnosis] is controllable.,Blame
146,0.26346070665696864,0.12746037594353385,diabetes,I feel irritated by a <mask> with [diagnosis].,Anger
147,0.12802844466744903,0.06029501542871443,diabetes,I feel a <mask> with [diagnosis] is dangerous.,Dangerousness
148,0.020914708462786084,0.029555491653109167,diabetes,I think a <mask> with [diagnosis] should be forced into treatment even if they do not want to.,Coercion
